period,x,y,teamId,playerId,_sourcePath,behindInfo,description,displayOrder,disposal,finalState,initialState,periodSeconds,shotAtGoal,stats
,0,0,,,$.matchChains[0].stats,,Centre Bounce,1,,,,0,,
,7,9,CD_T40,CD_I1005054,$.matchChains[0].stats,,Contested Knock On,2,,,,7,,
,15,12,CD_T40,CD_I994185,$.matchChains[0].stats,,Gather,3,,,,9,,
,14,8,CD_T40,CD_I994185,$.matchChains[0].stats,,Handball,4,effective,,,9,,
,11,2,CD_T40,CD_I260257,$.matchChains[0].stats,,Handball Received,5,,,,11,,
,13,-1,CD_T40,CD_I260257,$.matchChains[0].stats,,Kick,6,ineffective,,,14,,
,46,-40,,,$.matchChains[0].stats,,Ball Up Call,7,,,,22,,
,-48,41,CD_T80,CD_I1002222,$.matchChains[1].stats,,Gather From Hitout,8,,,,33,,
,-53,38,CD_T80,CD_I998390,$.matchChains[1].stats,,Loose Ball Get,9,,,,41,,
,-52,38,CD_T80,CD_I998390,$.matchChains[1].stats,,Kick,10,ineffective,,,42,,
,-52,46,CD_T80,CD_I1017110,$.matchChains[1].stats,,Loose Ball Get,11,,,,45,,
,-52,46,CD_T80,CD_I1017110,$.matchChains[1].stats,,Kick,12,ineffective,,,46,,
,-23,70,,,$.matchChains[1].stats,,Out of Bounds,13,,,,48,,
,13,-49,CD_T40,CD_I990291,$.matchChains[2].stats,,Free For,14,,,,68,,
,15,-49,CD_T40,CD_I990291,$.matchChains[2].stats,,Handball,15,effective,,,68,,
,20,-53,CD_T40,CD_I293871,$.matchChains[2].stats,,Handball Received,16,,,,70,,
,26,-52,CD_T40,CD_I293871,$.matchChains[2].stats,,Kick,17,effective,,,71,,
,26,-52,CD_T40,CD_I293871,$.matchChains[2].stats,,Kick Into F50,18,,,,71,,
,61,-16,,,$.matchChains[2].stats,,Kick Inside 50 Result,19,,,,72,,
,65,-13,CD_T80,CD_I990290,$.matchChains[2].stats,,Hard Ball Get,20,,,,76,,
,-65,13,CD_T80,CD_I990290,$.matchChains[3].stats,,Hard Ball Get,21,,,,76,,
,-65,11,CD_T80,CD_I990290,$.matchChains[3].stats,,Kick,22,effective,,,77,,
,-42,-26,CD_T80,CD_I1000887,$.matchChains[3].stats,,Uncontested Mark,23,,,,79,,
,-47,-26,CD_T80,CD_I1000887,$.matchChains[3].stats,,Kick,24,ineffective,,,85,,
,-14,-48,CD_T80,CD_I1006314,$.matchChains[3].stats,,Loose Ball Get,25,,,,88,,
,-14,-50,CD_T80,CD_I1006314,$.matchChains[3].stats,,Handball,26,effective,,,89,,
,-15,-54,CD_T80,CD_I296254,$.matchChains[3].stats,,Handball Received,27,,,,90,,
,-11,-56,CD_T80,CD_I296254,$.matchChains[3].stats,,Handball,28,effective,,,91,,
,3,-64,CD_T80,CD_I291351,$.matchChains[3].stats,,Handball Received,29,,,,93,,
,5,-63,CD_T80,CD_I291351,$.matchChains[3].stats,,Handball,30,effective,,,93,,
,13,-61,CD_T80,CD_I1017110,$.matchChains[3].stats,,Handball Received,31,,,,94,,
,22,-62,CD_T80,CD_I1017110,$.matchChains[3].stats,,Kick,32,clanger,,,97,,
,46,-42,CD_T40,CD_I998205,$.matchChains[3].stats,,Uncontested Mark,33,,,,98,,
,-46,42,CD_T40,CD_I998205,$.matchChains[4].stats,,Uncontested Mark,34,,,,98,,
,-52,43,CD_T40,CD_I998205,$.matchChains[4].stats,,Kick,35,effective,,,428,,
,2,41,CD_T80,CD_I990290,$.matchChains[4].stats,,Spoil,36,,,,428,,
,5,41,,,$.matchChains[4].stats,,Ball Up Call,37,,,,435,,
,-6,-43,CD_T80,CD_I1017110,$.matchChains[5].stats,,Gather From Hitout,38,,,,449,,
,-6,-43,CD_T80,CD_I1017110,$.matchChains[5].stats,,Kick,39,ineffective,,,451,,
,38,-22,CD_T80,CD_I1023473,$.matchChains[5].stats,,Loose Ball Get,40,,,,456,,
,51,-19,CD_T80,CD_I1023473,$.matchChains[5].stats,,Kick,41,effective,,,457,True,
,51,-19,CD_T80,CD_I1023473,$.matchChains[5].stats,,Goal,42,,,,460,,
,0,0,,,$.matchChains[6].stats,,Centre Bounce,43,,,,513,,
,0,3,CD_T40,CD_I1005054,$.matchChains[6].stats,,Free For,44,,,,525,,
,2,11,CD_T40,CD_I1005054,$.matchChains[6].stats,,Kick,45,effective,,,532,,
,2,11,CD_T40,CD_I1005054,$.matchChains[6].stats,,Kick Into F50,46,,,,532,,
,52,10,,,$.matchChains[6].stats,,Kick Inside 50 Result,47,,,,532,,
,52,10,CD_T80,CD_I998134,$.matchChains[6].stats,,Spoil,48,,,,535,,
,62,13,CD_T80,CD_I1005144,$.matchChains[6].stats,,Loose Ball Get Crumb,49,,,,536,,
,-62,-13,CD_T80,CD_I1005144,$.matchChains[7].stats,,Loose Ball Get Crumb,50,,,,536,,
,-67,-18,CD_T80,CD_I1005144,$.matchChains[7].stats,,Kick,51,effective,,,538,,
,-34,-51,CD_T40,CD_I298288,$.matchChains[7].stats,,Mark Fumbled,52,,,,542,,
